"acc_now_delinq"
"annual_inc"
"collection_recovery_fee"
"collections_12_mths_ex_med"
"delinq_2yrs"
"dti"
"funded_amnt"
"funded_amnt_inv"
"inq_last_6mths"
"installment"
"int_rate"
"last_pymnt_amnt"
"Loan Amount"
"Moderate"
"mths_since_last_delinq"
"open_acc"
"out_prncp"
"out_prncp_inv"
"pub_rec"
"recoveries"
"revol_bal"
"revol_util"
"Strong"
"total_acc"
"total_pymnt"
"total_pymnt_inv"
"total_rec_int"
"total_rec_late_fee"
"total_rec_prncp"
"Weak"
