54,47,254.0,0.9994859626925742,1.0,35
45,47,254.0,0.9994836261593586,1.0,38
111,47,3.0,0.9994836261593586,1.0,112
64,47,254.0,0.9864375929502119,1.0,32
79,47,188.0,0.9848896396948955,1.0,40
83,47,11.0,0.9844760733157393,1.0,39
85,47,16.0,0.9844760733157393,1.0,39
43,47,254.0,0.9844760733157393,1.0,34
66,47,16.0,0.9844760733157393,1.0,39
86,47,34.0,0.9844760733157393,1.0,39
87,47,15.0,0.9844760733157393,1.0,39
84,47,12.0,0.9844760733157393,1.0,39
104,47,27.0,0.9844760733157393,1.0,39
88,47,25.0,0.9844760733157393,1.0,39
67,47,27.0,0.9844760733157393,1.0,39
103,47,254.0,0.9844760733157393,1.0,31
74,47,254.0,0.9844760733157393,1.0,30
52,47,254.0,0.8579609775587668,1.0,26
78,47,123.0,0.8467421133241975,1.0,40
77,47,167.0,0.7509968234830934,1.0,40
76,81,155.0,0.5138176733035893,0.0,8
56,47,254.0,0.05775793282233352,1.0,29
98,81,254.0,5.210469070725692E-4,0.0,13
49,81,12.0,6.542293003601767E-5,0.0,3
101,47,254.0,3.738453144915295E-5,1.0,28
107,81,254.0,0.0,0.0,14
73,81,254.0,0.0,0.0,15
72,81,254.0,0.0,0.0,12
108,81,254.0,0.0,0.0,33
75,81,254.0,0.0,0.0,25
55,47,12.0,0.0,0.0,80
48,81,254.0,0.0,0.0,10
70,81,254.0,0.0,0.0,18
99,47,35.0,0.0,1.0,60
69,81,254.0,0.0,0.0,19
68,81,9.0,0.0,0.0,1
95,81,254.0,0.0,0.0,17
94,47,2.0,0.0,0.0,116
53,81,254.0,0.0,0.0,11
46,47,2.0,0.0,0.0,71
92,81,31.0,0.0,0.0,5
91,81,1.0,0.0,0.0,0
90,81,254.0,0.0,0.0,23
65,47,2.0,0.0,0.0,113
89,81,254.0,0.0,0.0,23
93,47,14.0,0.0,0.0,114
63,81,254.0,0.0,0.0,24
51,81,29.0,0.0,0.0,4
97,81,254.0,0.0,0.0,9
62,47,6.0,0.0,0.0,96
82,81,77.0,0.0,0.0,6
100,47,2.0,0.0,0.0,27
61,47,7.0,0.0,0.0,59
102,81,134.0,0.0,0.0,7
50,81,2.0,0.0,0.0,0
58,81,254.0,0.0,0.0,37
105,81,254.0,0.0,0.0,22
106,81,254.0,0.0,0.0,21
117,47,254.0,0.0,1.0,36
57,81,254.0,0.0,0.0,15
109,81,254.0,0.0,0.0,20
110,47,3.0,0.0,0.0,112
44,81,254.0,0.0,0.0,16
42,47,51.0,0.0,1.0,115
41,81,8.0,0.0,0.0,2
